Bof_20200828
CURRENCY	CURVE_PILLAR	CURVE_PILLAR_MAT	CURVE_PILLAR_SPLIT	CURVE_PILLAR_START	CURVE_PILLAR_START_LABEL	CURVE_PILLAR_STRIKE	MARKET_RATE	OPTION_STRIKE	POSITIONID	REF_DATE	REFMARKET	RISK_NATURE	SENSITIVITYDATE	UNDERLYING	UNDERLYING_MKT	VEGA	VOLATILITY_CATEGORY	VOLATILITY_GROUP	VOLATILITY_TYPE	VOLATILITY_GROUP_TYPE	VOLATILITY_GROUP_ID	TBRICKS_INSTRUMENT_ID	MIC_JOIN_MKT_ATTR
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | GENERAL MOTORS USD | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						5afb7eca-1f2e-11e9-a2d0-b3645e528b7a	XNYS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | VISA INC | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						5a8e4198-1f2e-11e9-a2d0-b3645e528b7a	XNYS
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | FRESENIUS | MTAH | BIT MTA	2020-08-28	MTAH	GrandTotal	2020-08-28			0						ef9d0dd6-1f2a-11e9-a2d0-b3645e528b7a	MTAH
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | AIR LIQUIDE | XPAR | Euronext Optiq	2020-08-28	XPAR	GrandTotal	2020-08-28			0						efa434b2-1f2a-11e9-a2d0-b3645e528b7a	XPAR
EUR								16.585	EQSSVOLOTC | EUR | Equities | Options | Call | BYG FEB24 CALL 16.585 OTC - EPSILON | 12 FEB 24 | C | E | 16.5850000000 | None | OTC Derivatives	2020-08-28	None	Total	2020-08-28			-527.1879671811414		BYG_BYG risk fixed expiry			d2edb182-39d7-11e9-a900-eb52c95dd479	c12408ea-7710-11e9-9400-98972329be46	None
EUR								1400	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OESX 202412 P 1400 | 20 DEC 24 | P | E | 1400.0000000000 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			424.4428484347774		DJES50_DJES50 risk fixed expiry			cf4df320-39d7-11e9-a900-eb52c95dd479	f963e1ea-1f30-11e9-a2d0-b3645e528b7a	XEUR
EUR								260.21	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_SX6E MAR23 PATM - 4061 | 29 MAR 23 | P | E | 260.2100000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			27196.611516776575		0_EUR_UTIL_0_EUR_UTIL risk fixed expiry			ebe3f4b0-3b41-11e9-93b0-dcd608f6e958	bbc2e910-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR									EQ-INDEXVOL2 | EUR | Equities | Futures | Financial Futures | FEXD 202112 | DEC 21 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			0		FEXD_FEXD risk fixed expiry			eb132e4a-39d7-11e9-a900-eb52c95dd479	f3732638-1f30-11e9-a2d0-b3645e528b7a	XEUR
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | M MARIETTA | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						5aadb762-1f2e-11e9-a2d0-b3645e528b7a	XNYS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Ruth Hospitality Group | XNAS | Reuters Elektron	2020-08-28	XNAS	GrandTotal	2020-08-28			0						293a16dd-4362-11ea-ba6b-bffbb95b5697	XNAS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | NUANCE COMMNCTNS | XNAS | Reuters Elektron	2020-08-28	XNAS	GrandTotal	2020-08-28			0						5ac4a850-1f2e-11e9-a2d0-b3645e528b7a	XNAS
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | BMW | MTAH | BIT MTA	2020-08-28	MTAH	GrandTotal	2020-08-28			0						efa09e6a-1f2a-11e9-a2d0-b3645e528b7a	MTAH
