ISS_NUMOUT	INSTRUMENTID_FE	ISS_PRICE	UNDERLYINGID	MKT_TRDCLAUSE	MKT_SETTL_CONV	F_TAX_CREDIT	MKT_SETTL_TYPE	ORIGINAL_CURRENCY	RIC3	RIC1	RIC2	RIC0	ISSUERID	MKT_SETTL_PAYSHIFT	FIID	MKT_SETTLRULE	GUARANTOR	LOTSIZE1	LOTSIZE0	MARKET	CURRENCY	F_GUARANTED	SSL_SNAPSHOT_DATE	ISIN	DESCRIPTION	QUOTATION	ISS_NUM	F_QPERCENTAGE	UNDERLYINGID_FE	LEADMANAGER	ISS_DATE	SENIORITY	F_QDIRTY	SSL_FEID	SECURITY_DEATH	F_DIVIDEND_GEN_MODE	REF_DATE	CLEARING_CENTER_NAME
	TRANSENTERIX INC		L_S_5a74aa9e-1f2e-11e9-a2d0-b3645e528b7a_TRANSENTERIX INC_TBRX				Cash						0C1803_TBRX		L_S_5a74aa9e-1f2e-11e9-a2d0-b3645e528b7a_TRANSENTERIX INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US89366M3007	TRANSENTERIX OR		0		TRANSENTERIX INC		20180125		0	TBRX			20200831	
	SCHLUMBERGER LTD		L_S_5a611326-1f2e-11e9-a2d0-b3645e528b7a_SCHLUMBERGER LTD_TBRX				Cash						SCDZ_TBRX		L_S_5a611326-1f2e-11e9-a2d0-b3645e528b7a_SCHLUMBERGER LTD_TBRX				1.0000000000	 	USD		30200831.0000000000	000000000000	SCHLUMBERGER		0		SCHLUMBERGER LTD		20040927		0	TBRX			20200831	
	ACS/AC 0,50		L_S_5ab905fe-1f2e-11e9-a2d0-b3645e528b7a_ACS/AC 0,50_TBRX				Cash						0D3012_TBRX		L_S_5ab905fe-1f2e-11e9-a2d0-b3645e528b7a_ACS/AC 0,50_TBRX				1.0000000000	 	EUR		30200831.0000000000	ES0167050915	ACS ACTIVIDADES CONS.Y SERVICIOS		0		ACS/AC 0,50		20190215		0	TBRX			20200831	
	XILINX INC USD		L_S_5b033066-1f2e-11e9-a2d0-b3645e528b7a_XILINX INC USD_TBRX				Cash						0C3092_TBRX		L_S_5b033066-1f2e-11e9-a2d0-b3645e528b7a_XILINX INC USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US9839191015	XILINX ORD		0		XILINX INC USD		20180118		0	TBRX			20200831	
	BIOMARIN PHARMA		L_S_5a5934c6-1f2e-11e9-a2d0-b3645e528b7a_BIOMARIN PHARMA_TBRX				Cash						0B6442_TBRX		L_S_5a5934c6-1f2e-11e9-a2d0-b3645e528b7a_BIOMARIN PHARMA_TBRX				1.0000000000	 	USD		30200831.0000000000	US09061G1013	BIOMARIN PHARMA		0		BIOMARIN PHARMA		20180115		0	TBRX			20200831	
	ELN		L_S_efa054fa-1f2a-11e9-a2d0-b3645e528b7a_ELN_TBRX				Cash						EL.EN._TBRX		L_S_efa054fa-1f2a-11e9-a2d0-b3645e528b7a_ELN_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0005188336	EL.EN.		0		ELN		20081110		0	TBRX			20200831	
	INDEPEND BNCP		L_S_2527968a-514c-11e9-b8d0-ec23cf8de3db_INDEPEND BNCP_TBRX				Cash								L_S_2527968a-514c-11e9-b8d0-ec23cf8de3db_INDEPEND BNCP_TBRX				1.0000000000	 	USD		30200831.0000000000	US4538361084	INDEPEND BNCP		0		INDEPEND BNCP				0	TBRX			20200831	
	ADOBE USD		L_S_5b039308-1f2e-11e9-a2d0-b3645e528b7a_ADOBE USD_TBRX				Cash						0C6198_TBRX		L_S_5b039308-1f2e-11e9-a2d0-b3645e528b7a_ADOBE USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US00724F1012	ADOBE INC		0		ADOBE USD		20180115		0	TBRX			20200831	
	Fastly		L_S_f833e98d-2d70-11ea-f47a-e4f7cfc1999a_Fastly_TBRX				Cash								L_S_f833e98d-2d70-11ea-f47a-e4f7cfc1999a_Fastly_TBRX				1.0000000000	 	USD		30200831.0000000000	US31188V1008			0		Fastly				0	TBRX			20200831	
	REGENERON PHAR		L_S_5a7d1954-1f2e-11e9-a2d0-b3645e528b7a_REGENERON PHAR_TBRX				Cash						0A7980_TBRX		L_S_5a7d1954-1f2e-11e9-a2d0-b3645e528b7a_REGENERON PHAR_TBRX				1.0000000000	 	USD		30200831.0000000000	US75886F1075	REGENERON PHARM		0		REGENERON PHAR		20180118		0	TBRX			20200831	
	Liberty Oilfield Services		L_S_a8924ba7-62f9-11ea-1b75-a65fc2c3ea9a_Liberty Oilfield Services_TBRX				Cash								L_S_a8924ba7-62f9-11ea-1b75-a65fc2c3ea9a_Liberty Oilfield Services_TBRX				1.0000000000	 	USD		30200831.0000000000	US53115L1044			0		Liberty Oilfield Services				0	TBRX			20200831	
	UBI		L_S_ef9caf94-1f2a-11e9-a2d0-b3645e528b7a_UBI_TBRX				Cash						UNIONE DI BANCHE ITALIANE_TBRX		L_S_ef9caf94-1f2a-11e9-a2d0-b3645e528b7a_UBI_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0003487029	UBI BANCA		0		UBI		20081110		0	TBRX			20200831	
	Proofpoint Inc		L_S_6fe37681-f018-11e9-8a76-689ad0275c8f_Proofpoint Inc_TBRX				Cash								L_S_6fe37681-f018-11e9-8a76-689ad0275c8f_Proofpoint Inc_TBRX				1.0000000000	 	USD		30200831.0000000000	US7434241037			0		Proofpoint Inc				0	TBRX			20200831	
